	CH1 Voltage	CH1 Current	CH1 Time	CH2 Voltage	CH2 Current	CH2 Time
1,1,1	0.00000E+000	-35.50000E-012	9.27900E-003	0.00000E+000	4.56600E-006	9.27900E-003
1,1,2	0.00000E+000	-25.20000E-012	177.87500E-003	42.00000E-003	-5.61000E-006	177.87500E-003
1,1,3	-100.00000E-009	-33.40000E-012	346.12700E-003	84.00000E-003	-10.86700E-006	346.12700E-003
1,1,4	0.00000E+000	-9.50000E-012	514.38500E-003	126.00000E-003	-14.62100E-006	514.38500E-003
1,1,5	0.00000E+000	-11.70000E-012	704.96300E-003	168.00000E-003	12.90500E-006	704.96300E-003
1,1,6	0.00000E+000	-38.00000E-012	873.22200E-003	210.00000E-003	14.42500E-006	873.22200E-003
1,1,7	0.00000E+000	-38.50000E-012	1.04149E+000	252.00000E-003	10.95800E-006	1.04149E+000
1,1,8	0.00000E+000	-24.00000E-012	1.22091E+000	294.00000E-003	10.03900E-006	1.22091E+000
1,1,9	0.00000E+000	-38.40000E-012	1.38916E+000	336.00000E-003	14.72900E-006	1.38916E+000
1,1,10	0.00000E+000	-47.00000E-012	1.55743E+000	378.00000E-003	13.06700E-006	1.55743E+000
1,1,11	0.00000E+000	-36.20000E-012	1.72573E+000	420.00000E-003	6.48500E-006	1.72573E+000
1,1,12	0.00000E+000	-46.40000E-012	1.89398E+000	462.00000E-003	-1.48200E-006	1.89398E+000
1,1,13	0.00000E+000	-37.50000E-012	2.06225E+000	504.00000E-003	-9.25600E-006	2.06225E+000
1,1,14	0.00000E+000	-36.80000E-012	2.23055E+000	546.00000E-003	-13.66300E-006	2.23055E+000
1,1,15	0.00000E+000	-32.60000E-012	2.39880E+000	588.00000E-003	-13.75900E-006	2.39880E+000
1,1,16	0.00000E+000	-29.00000E-012	2.56708E+000	630.00000E-003	-8.72900E-006	2.56708E+000
1,1,17	0.00000E+000	-24.90000E-012	2.73538E+000	672.00000E-003	-1.26800E-006	2.73538E+000
1,1,18	0.00000E+000	-23.80000E-012	2.90365E+000	714.00000E-003	8.07500E-006	2.90365E+000
1,1,19	0.00000E+000	-21.70000E-012	3.07188E+000	756.00000E-003	12.51000E-006	3.07188E+000
1,1,20	0.00000E+000	-13.90000E-012	3.24017E+000	798.00000E-003	14.42800E-006	3.24017E+000
1,1,21	0.00000E+000	-10.90000E-012	3.40844E+000	840.00000E-003	11.43600E-006	3.40844E+000
1,1,22	0.00000E+000	-2.40000E-012	3.57668E+000	882.00000E-003	3.57200E-006	3.57668E+000
1,1,23	0.00000E+000	24.10000E-012	3.74517E+000	924.00000E-003	-6.44900E-006	3.74517E+000
1,1,24	0.00000E+000	-14.60000E-012	3.91345E+000	966.00000E-003	-11.36600E-006	3.91345E+000
1,1,25	0.00000E+000	-24.70000E-012	4.08169E+000	1.00800E+000	-14.44100E-006	4.08169E+000
1,1,26	0.00000E+000	-24.40000E-012	4.24998E+000	1.05000E+000	-12.41600E-006	4.24998E+000
1,1,27	0.00000E+000	-19.40000E-012	4.41826E+000	1.09200E+000	-4.54600E-006	4.41826E+000
1,1,28	0.00000E+000	-22.50000E-012	4.58655E+000	1.13400E+000	4.09700E-006	4.58655E+000
1,1,29	0.00000E+000	-19.70000E-012	4.75483E+000	1.17600E+000	10.12400E-006	4.75483E+000
1,1,30	0.00000E+000	-18.50000E-012	4.92312E+000	1.21800E+000	14.67000E-006	4.92312E+000
1,1,31	0.00000E+000	-14.30000E-012	5.09134E+000	1.26000E+000	13.12400E-006	5.09134E+000
1,1,32	0.00000E+000	-9.10000E-012	5.25962E+000	1.30200E+000	6.75000E-006	5.25962E+000
1,1,33	0.00000E+000	-10.80000E-012	5.42789E+000	1.34400E+000	-1.21100E-006	5.42789E+000
1,1,34	0.00000E+000	-14.80000E-012	5.59615E+000	1.38600E+000	-9.19700E-006	5.59615E+000
1,1,35	0.00000E+000	-19.00000E-012	5.76443E+000	1.42800E+000	-13.64800E-006	5.76443E+000
1,1,36	0.00000E+000	-12.10000E-012	5.93270E+000	1.47000E+000	-13.95400E-006	5.93270E+000
1,1,37	0.00000E+000	-10.00000E-012	6.10101E+000	1.51200E+000	-8.87700E-006	6.10101E+000
1,1,38	0.00000E+000	-16.50000E-012	6.26930E+000	1.55400E+000	-1.63600E-006	6.26930E+000
1,1,39	0.00000E+000	-17.90000E-012	6.43757E+000	1.59600E+000	7.72500E-006	6.43757E+000
1,1,40	0.00000E+000	-15.30000E-012	6.60587E+000	1.63800E+000	12.38800E-006	6.60587E+000
1,1,41	0.00000E+000	-5.20000E-012	6.77414E+000	1.68000E+000	14.54700E-006	6.77414E+000
1,1,42	0.00000E+000	11.50000E-012	6.94241E+000	1.72200E+000	11.88500E-006	6.94241E+000
1,1,43	0.00000E+000	9.80000E-012	7.11068E+000	1.76400E+000	3.68600E-006	7.11068E+000
1,1,44	0.00000E+000	12.20000E-012	7.27897E+000	1.80600E+000	-4.74900E-006	7.27897E+000
1,1,45	0.00000E+000	-7.90000E-012	7.44722E+000	1.84800E+000	-10.29000E-006	7.44722E+000
1,1,46	0.00000E+000	-15.80000E-012	7.61549E+000	1.89000E+000	-14.81500E-006	7.61549E+000
1,1,47	0.00000E+000	-1.50000E-012	7.78377E+000	1.93200E+000	-12.78100E-006	7.78377E+000
1,1,48	0.00000E+000	10.10000E-012	7.95224E+000	1.97400E+000	-5.22200E-006	7.95224E+000
1,1,49	0.00000E+000	13.20000E-012	8.12077E+000	2.01600E+000	4.59400E-006	8.12077E+000
1,1,50	0.00000E+000	25.10000E-012	8.28904E+000	2.05800E+000	10.16800E-006	8.28904E+000
1,1,51	0.00000E+000	49.70000E-012	8.45728E+000	2.10000E+000	14.88800E-006	8.45728E+000
1,1,52	0.00000E+000	47.40000E-012	8.62558E+000	2.14190E+000	12.65700E-006	8.62558E+000
1,1,53	0.00000E+000	9.50000E-012	8.79386E+000	2.18400E+000	6.36800E-006	8.79386E+000
1,1,54	0.00000E+000	30.40000E-012	8.96209E+000	2.22600E+000	-1.46500E-006	8.96209E+000
1,1,55	0.00000E+000	24.50000E-012	9.13036E+000	2.26800E+000	-9.24500E-006	9.13036E+000
1,1,56	0.00000E+000	19.70000E-012	9.29865E+000	2.31000E+000	-13.60900E-006	9.29865E+000
1,1,57	0.00000E+000	15.10000E-012	9.46691E+000	2.35200E+000	-13.72300E-006	9.46691E+000
1,1,58	0.00000E+000	-8.90000E-012	9.63518E+000	2.39400E+000	-9.02800E-006	9.63518E+000
1,1,59	0.00000E+000	-600.00000E-015	9.80347E+000	2.43600E+000	-1.65700E-006	9.80347E+000
1,1,60	0.00000E+000	2.80000E-012	9.97177E+000	2.47800E+000	7.73200E-006	9.97177E+000
1,1,61	0.00000E+000	3.70000E-012	10.14003E+000	2.52000E+000	12.13300E-006	10.14003E+000
1,1,62	0.00000E+000	6.10000E-012	10.30831E+000	2.56200E+000	14.32000E-006	10.30831E+000
1,1,63	0.00000E+000	5.90000E-012	10.47655E+000	2.60400E+000	12.20100E-006	10.47655E+000
1,1,64	0.00000E+000	13.10000E-012	10.64483E+000	2.64600E+000	4.06200E-006	10.64483E+000
1,1,65	0.00000E+000	10.20000E-012	10.81311E+000	2.68800E+000	-4.42800E-006	10.81311E+000
1,1,66	0.00000E+000	10.10000E-012	10.98138E+000	2.73000E+000	-10.08600E-006	10.98138E+000
1,1,67	0.00000E+000	12.00000E-012	11.14961E+000	2.77200E+000	-14.69400E-006	11.14961E+000
1,1,68	0.00000E+000	44.90000E-012	11.31819E+000	2.81400E+000	-12.53900E-006	11.31819E+000
1,1,69	0.00000E+000	15.40000E-012	11.48644E+000	2.85600E+000	-5.40900E-006	11.48644E+000
